insert_AVL,insert_BinaryTree,interactions,tree_size
9,11,8465,233
9,10,198,234
10,8,9508,235
9,10,9356,236
9,12,8805,237
9,14,6349,238
8,13,8612,239
10,13,3623,240
9,12,7829,241
9,11,9300,242
9,12,7344,243
10,12,5747,244
10,13,5569,245
9,14,4341,246
10,11,5423,247
10,13,3312,248
9,12,3811,249
9,11,7606,250
10,9,1802,251
9,12,5662,252
10,14,3731,253
10,16,4879,254
9,10,1306,255
9,12,9321,256
9,12,8737,257
10,7,9445,258
8,12,8627,259
9,11,8523,260
9,11,3466,261
8,11,6709,262
9,12,3417,263
9,10,8283,264
9,13,3259,265
9,14,2925,266
10,12,7638,267
10,13,2063,268
10,13,5625,269
9,9,2601,270
10,14,2037,271
9,12,3453,272
10,12,1900,273
9,11,9380,274
9,14,5551,275
9,12,7469,276
9,8,72,277
10,10,974,278
9,13,7132,279
9,11,3882,280
9,13,4931,281
9,12,8934,282
10,15,5895,283
9,13,8661,284
9,11,164,285
9,13,7200,286
9,12,7982,287
9,14,8900,288
8,14,2997,289
9,15,2960,290
10,11,3774,291
10,10,2814,292
9,5,9669,293
10,14,7191,294
10,10,1096,295
10,15,2927,296
10,12,6467,297
9,12,5085,298
10,8,1341,299
9,14,2091,300
10,11,7685,301
10,13,3377,302
10,15,5543,303
10,15,5937,304
9,11,9108,305
9,11,7446,306
10,8,9757,307
9,10,9180,308
9,12,8419,309
9,8,6888,310
10,5,9413,311
10,13,3349,312
10,15,2173,313
9,9,1660,314
9,15,2010,315
9,11,2337,316
10,10,5211,317
10,15,6343,318
10,12,7588,319
9,11,8207,320
9,13,9302,321
10,12,7714,322
9,12,7373,323
10,10,5322,324
10,11,1256,325
10,17,4820,326
9,19,4600,327
10,13,7722,328
10,8,9905,329
11,16,5940,330
10,6,9812,331
9,12,3941,332
9,13,5668,333
10,10,1706,334
9,14,6229,335
11,11,1128,336
10,12,9151,337
11,17,5985,338
9,12,6659,339
8,10,3921,340
10,11,9225,341
10,10,2423,342
9,14,7270,343
9,6,1397,344
9,14,4082,345
10,14,5631,346
10,9,85,347
9,12,9293,348
10,16,1973,349
10,12,7673,350
9,13,3851,351
10,13,7626,352
10,9,5386,353
11,12,1223,354
10,13,9300,355
10,12,6641,356
10,14,6043,357
9,11,3899,358
8,13,714,359
8,10,2299,360
10,16,6191,361
9,5,525,362
10,10,2591,363
10,12,8210,364
9,12,8582,365
9,13,8820,366
9,13,9337,367
10,14,7733,368
11,13,1156,369
11,18,5995,370
10,13,8005,371
9,10,380,372
10,16,4770,373
10,10,5274,374
10,10,1777,375
9,14,8851,376
10,15,7256,377
9,10,1861,378
10,13,8143,379
10,14,5580,380
11,16,5885,381
10,17,1994,382
10,14,3206,383
11,14,7622,384
10,8,9568,385
10,11,2505,386
8,11,614,387
10,17,1962,388
9,9,2755,389
11,9,1327,390
10,15,4260,391
10,13,8945,392
10,12,8203,393
11,15,3203,394
9,12,3507,395
10,12,6785,396
10,16,2022,397
10,11,2843,398
9,6,869,399
10,9,9529,400
9,12,5190,401
10,15,8873,402
10,9,9909,403
10,4,9959,404
9,6,499,405
8,10,8037,406
9,13,8809,407
9,10,7754,408
10,13,6249,409
10,14,3304,410
11,14,3334,411
10,16,2134,412
10,10,1649,413
10,13,2891,414
10,9,9755,415
10,13,7568,416
11,11,1747,417
9,9,369,418
11,10,9530,419
9,17,4501,420
9,11,8047,421
9,12,3789,422
9,9,9798,423
11,14,6250,424
10,12,6991,425
11,15,3304,426
9,15,3034,427
10,11,5364,428
10,12,2498,429
9,11,254,430
9,17,4893,431
10,13,7687,432
11,13,9126,433
11,14,1153,434
10,13,3997,435
10,18,5976,436
10,12,9189,437
11,13,9158,438
9,15,3730,439
10,11,5437,440
10,13,2461,441
10,14,3415,442
9,11,3922,443
9,11,461,444
11,15,6305,445
9,6,29,446
10,14,8028,447
10,12,8051,448
11,13,6749,449
11,14,7557,450
10,15,8903,451
10,17,4795,452
11,14,7698,453
11,13,8700,454
10,10,1044,455
11,11,1040,456
11,18,2003,457
9,12,429,458
9,15,6404,459
9,18,4501,460
9,13,682,461
11,13,7648,462
9,12,8539,463
11,17,6160,464
10,13,5152,465
10,12,2536,466
10,17,2135,467
10,15,4340,468
9,11,1693,469
9,13,2216,470
11,16,6128,471
10,7,505,472
9,15,5630,473
10,7,50,474
10,11,965,475
10,11,8286,476
10,12,6430,477
11,12,5344,478
10,14,6336,479
11,16,3178,480
10,14,2901,481
11,11,5239,482
10,13,7972,483
9,10,6950,484
9,9,290,485
10,12,5368,486
10,14,7989,487
11,11,2293,488
11,16,5796,489
8,13,744,490
11,17,3145,491
11,12,2830,492
9,13,8391,493
10,12,1683,494
11,13,5341,495
10,13,3542,496
9,9,570,497
10,14,3827,498
10,16,4233,499
11,12,2262,500
11,15,6043,501
9,8,361,502
10,14,9118,503
11,15,8024,504
11,14,6762,505
10,10,82,506
11,16,6310,507
11,17,3191,508
10,12,5426,509
10,12,8997,510
10,16,6368,511
10,19,4678,512
11,17,4235,513
9,13,691,514
9,11,1627,515
9,18,4525,516
10,15,6058,517
10,6,9615,518
11,18,3169,519
11,13,8206,520
10,9,359,521
11,17,6313,522
11,12,7387,523
10,13,5101,524
10,15,4347,525
11,10,2727,526
10,14,4995,527
10,15,4917,528
11,11,6553,529
11,15,5579,530
10,14,3530,531
10,14,8947,532
11,13,2291,533
11,9,2648,534
10,11,6971,535
11,13,9052,536
11,14,9081,537
10,7,9632,538
9,13,8594,539
9,7,858,540
10,14,8628,541
11,11,1313,542
10,13,1887,543
10,13,9215,544
9,12,8356,545
9,13,3513,546
10,10,91,547
10,15,4413,548
9,7,9480,549
10,7,9611,550
11,15,8970,551
11,18,6190,552
11,14,2275,553
10,17,6356,554
11,14,7642,555
10,13,6621,556
11,13,5434,557
11,13,8988,558
10,12,7889,559
10,13,8339,560
9,17,4567,561
10,8,7771,562
10,11,7285,563
11,10,6857,564
10,13,418,565
9,12,607,566
11,13,2261,567
10,16,5850,568
10,12,238,569
10,16,7206,570
10,12,3060,571
11,12,5218,572
10,12,8519,573
10,15,4946,574
9,10,784,575
10,9,6874,576
9,12,8459,577
9,7,874,578
11,14,7638,579
10,14,4290,580
9,12,484,581
10,12,6608,582
10,13,479,583
11,9,2758,584
10,14,9315,585
9,17,4472,586
11,14,5730,587
10,12,1101,588
9,13,3460,589
10,14,3619,590
10,6,9439,591
11,16,8026,592
11,9,1389,593
10,12,3075,594
11,13,1234,595
10,12,8158,596
11,16,3682,597
9,13,3494,598
10,10,359,599
10,12,271,600
10,14,700,601
9,13,3418,602
10,11,1840,603
11,16,5570,604
9,13,8364,605
12,10,2623,606
11,13,8795,607
11,19,3174,608
10,7,9848,609
9,12,6432,610
10,12,7463,611
10,13,6683,612
10,6,9391,613
11,15,4293,614
10,17,5792,615
11,12,5058,616
10,14,5116,617
11,10,1522,618
11,18,6158,619
9,13,8575,620
11,11,1492,621
10,18,1948,622
11,16,2952,623
10,13,9232,624
11,13,5022,625
10,6,538,626
11,15,3741,627
11,14,5055,628
9,13,4031,629
11,17,4099,630
11,14,5326,631
11,11,1082,632
11,13,7517,633
11,14,3517,634
10,16,3003,635
11,11,2232,636
11,17,6140,637
10,11,1797,638
10,11,5405,639
11,12,2339,640
9,17,4581,641
10,14,9219,642
11,14,9022,643
11,14,3971,644
10,9,9863,645
10,18,4813,646
11,10,5380,647
11,16,4978,648
11,11,2686,649
10,12,1537,650
11,10,9905,651
10,18,4177,652
10,14,3484,653
10,14,9208,654
10,9,9760,655
9,18,4858,656
10,10,9745,657
10,14,3500,658
10,10,9912,659
10,12,128,660
11,15,3951,661
11,13,5237,662
10,15,7561,663
11,13,7819,664
11,15,5106,665
10,10,564,666
10,8,50,667
11,12,1245,668
11,14,8712,669
11,12,1806,670
11,5,9935,671
11,16,3292,672
11,13,7376,673
12,16,8956,674
11,15,3615,675
11,16,3590,676
10,12,3769,677
12,14,8994,678
11,16,4919,679
11,11,2806,680
11,10,6883,681
10,19,4823,682
11,12,6983,683
11,12,6718,684
10,14,4031,685
11,13,3094,686
10,13,1575,687
11,13,127,688
11,12,6594,689
12,12,1487,690
11,13,254,691
10,7,544,692
11,13,3075,693
11,14,7815,694
10,18,4714,695
10,13,8180,696
10,14,8378,697
10,17,4763,698
11,11,5776,699
10,14,7089,700
10,14,2920,701
12,15,5711,702
10,14,6733,703
10,10,295,704
11,12,1018,705
11,11,347,706
10,13,236,707
11,15,1138,708
12,16,5692,709
11,14,5154,710
11,16,3944,711
11,11,2574,712
10,15,6329,713
10,7,926,714
11,14,9292,715
9,12,6711,716
11,14,4019,717
11,17,7218,718
10,10,6837,719
10,11,6964,720
12,15,5056,721
11,15,7091,722
10,14,3859,723
10,13,8131,724
10,18,4905,725
10,14,8572,726
12,12,2662,727
11,8,9634,728
11,6,9686,729
10,18,4790,730
12,14,3074,731
12,10,2605,732
10,11,6852,733
11,7,9806,734
11,15,9251,735
10,13,7869,736
10,11,6504,737
10,8,9486,738
12,15,9007,739
10,14,2196,740
11,20,4640,741
11,17,2950,742
11,13,1121,743
11,12,968,744
11,14,227,745
10,15,6764,746
9,13,7678,747
10,13,597,748
11,15,3982,749
10,8,866,750
11,16,7561,751
11,15,9037,752
10,14,7956,753
11,9,7771,754
11,15,3519,755
11,15,9212,756
10,16,6343,757
12,13,2533,758
10,11,5197,759
11,9,2380,760
11,13,7322,761
11,12,8271,762
11,17,4985,763
10,19,4173,764
10,16,4428,765
10,18,4235,766
9,15,2041,767
11,12,7284,768
11,11,73,769
11,13,7399,770
11,17,5831,771
12,12,1064,772
11,12,348,773
11,12,6951,774
10,17,2031,775
10,14,574,776
10,17,3715,777
11,16,6060,778
12,14,7523,779
11,13,4048,780
11,11,6925,781
11,13,5083,782
10,7,9436,783
12,14,1233,784
11,15,9205,785
10,17,2955,786
10,13,444,787
11,14,1899,788
11,12,5487,789
10,15,5641,790
10,16,4279,791
12,14,9160,792
11,13,263,793
11,16,9263,794
12,7,9684,795
12,12,1042,796
11,8,9849,797
11,11,1724,798
11,9,8325,799
11,16,6273,800
11,15,9123,801
10,20,4155,802
12,14,7336,803
11,18,5822,804
11,13,7458,805
11,12,9366,806
12,11,2748,807
11,14,1172,808
11,12,1777,809
11,14,270,810
11,14,5219,811
12,15,8702,812
10,12,1704,813
11,21,4654,814
12,6,9934,815
10,8,908,816
10,16,3960,817
11,15,6729,818
11,12,2807,819
10,17,5798,820
12,15,8721,821
10,12,7085,822
11,12,1309,823
11,15,5335,824
11,12,2699,825
10,11,992,826
10,17,6377,827
11,16,8899,828
12,13,2716,829
11,13,1053,830
12,15,5172,831
11,14,8190,832
12,14,1560,833
11,14,2507,834
11,15,4011,835
12,16,9017,836
11,13,8225,837
12,14,3110,838
10,12,6540,839
11,6,1,840
11,15,3379,841
10,12,8110,842
12,15,5054,843
12,14,5082,844
11,15,9115,845
11,10,1339,846
11,19,5990,847
11,8,9427,848
11,13,8068,849
11,14,5148,850
11,15,5224,851
10,13,6788,852
12,12,2232,853
11,13,6533,854
11,17,2123,855
11,12,1282,856
10,12,3876,857
11,20,4851,858
11,12,180,859
11,13,6591,860
12,14,2255,861
11,13,5351,862
11,16,1132,863
11,15,3814,864
11,14,7858,865
12,12,1495,866
10,13,9182,867
11,17,6082,868
11,20,4604,869
11,16,5721,870
11,14,2434,871
10,15,7983,872
12,13,182,873
11,13,7488,874
11,9,9416,875
11,14,9297,876
12,14,8826,877
11,12,5405,878
12,16,8723,879
11,9,6893,880
10,11,552,881
11,11,298,882
11,9,33,883
12,14,9135,884
10,18,3182,885
10,13,8507,886
10,14,416,887
11,13,7058,888
10,7,9709,889
11,15,596,890
11,5,10000,891
11,18,1963,892
12,12,2298,893
12,14,7484,894
12,12,5777,895
12,13,155,896
12,16,8978,897
12,13,1310,898
11,12,2588,899
12,8,9933,900
11,16,3383,901
11,14,5022,902
11,17,4267,903
11,13,3564,904
11,16,8861,905
11,18,3683,906
11,16,9212,907
9,14,7686,908
12,15,9087,909
11,17,4286,910
10,12,931,911
11,20,5991,912
11,18,4584,913
12,14,7315,914
11,13,1477,915
11,21,4117,916
11,19,5821,917
12,15,1893,918
12,15,7526,919
11,16,5529,920
12,15,8840,921
12,16,7526,922
11,13,7491,923
11,17,1137,924
11,10,1361,925
10,8,9619,926
12,15,7644,927
10,12,338,928
11,13,929,929
12,14,6583,930
11,14,6622,931
11,16,4311,932
11,15,7956,933
11,9,889,934
10,19,4226,935
11,11,6816,936
11,18,4571,937
10,11,3438,938
9,8,854,939
12,7,9,940
11,15,7723,941
12,12,1784,942
12,13,2351,943
10,15,8658,944
13,16,9098,945
11,15,3828,946
13,15,9127,947
12,13,1270,948
11,15,2072,949
10,10,6652,950
11,19,3150,951
11,9,911,952
11,7,529,953
10,12,640,954
10,14,8399,955
13,16,1889,956
10,13,6611,957
11,9,2394,958
10,14,8578,959
10,12,3891,960
12,17,8977,961
11,11,5200,962
11,18,4553,963
12,12,6932,964
11,18,6088,965
11,14,8778,966
10,10,100,967
11,13,658,968
11,15,8567,969
11,13,953,970
11,12,7018,971
10,11,2642,972
12,12,2736,973
12,13,9369,974
12,13,1299,975
11,15,8185,976
10,18,3196,977
11,16,6777,978
11,18,5806,979
11,12,5267,980
11,12,3429,981
12,17,8955,982
11,15,2529,983
11,12,309,984
11,8,9594,985
11,12,7279,986
11,15,2198,987
10,9,2556,988
12,6,9673,989
10,11,775,990
11,13,6446,991
11,15,5001,992
12,12,2326,993
11,12,998,994
11,12,8284,995
11,15,8413,996
11,17,6128,997
11,15,8383,998
11,12,5422,999
11,19,4694,1000
11,14,9335,1001
11,15,2440,1002
11,15,7335,1003
11,13,8422,1004
10,13,8160,1005
12,18,4986,1006
11,16,2958,1007
12,11,1355,1008
12,13,1762,1009
11,13,8763,1010
11,16,2973,1011
12,15,1542,1012
11,14,7717,1013
12,12,1853,1014
13,13,1851,1015
11,17,3663,1016
11,13,5483,1017
11,15,400,1018
10,17,6218,1019
12,16,5155,1020
11,15,1174,1021
12,17,9016,1022
12,14,6507,1023
12,9,9852,1024
10,18,6365,1025
11,19,4791,1026
11,13,8264,1027
11,14,2492,1028
10,20,3173,1029
11,10,38,1030
11,15,3538,1031
12,17,8860,1032
12,15,8829,1033
9,8,872,1034
12,13,7281,1035
11,13,6988,1036
10,17,5857,1037
12,15,6591,1038
11,14,8342,1039
11,17,3971,1040
12,14,5353,1041
12,14,7666,1042
11,17,5512,1043
12,13,3070,1044
10,10,9518,1045
12,13,7362,1046
12,14,3084,1047
12,12,1352,1048
11,22,4113,1049
10,14,9301,1050
11,15,6507,1051
12,12,1639,1052
12,22,4668,1053
12,13,9365,1054
11,13,1490,1055
11,13,1033,1056
10,22,4155,1057
11,14,6105,1058
11,11,9876,1059
11,18,3680,1060
12,18,6142,1061
11,17,3413,1062
10,13,2539,1063
12,17,4970,1064
11,13,637,1065
11,19,6171,1066
12,19,1957,1067
11,12,2845,1068
12,10,2761,1069
12,13,6650,1070
11,12,6815,1071
10,18,4466,1072
11,17,4315,1073
12,13,2327,1074
11,13,3887,1075
12,14,184,1076
11,16,6040,1077
11,12,6970,1078
11,13,1536,1079
12,14,153,1080
10,11,2622,1081
10,15,4394,1082
13,13,1791,1083
11,12,7290,1084
11,11,110,1085
11,9,9632,1086
12,23,4674,1087
11,18,4265,1088
12,10,5736,1089
12,19,4549,1090
11,17,4296,1091
13,14,1878,1092
12,18,4314,1093
11,12,6834,1094
11,19,3199,1095
12,18,4950,1096
11,14,9356,1097
13,17,5156,1098
11,9,7794,1099
10,12,8469,1100
10,13,8157,1101
12,14,961,1102
11,18,2934,1103
12,15,8824,1104
11,17,3287,1105
11,21,3172,1106
12,15,5359,1107
12,17,5678,1108
12,15,141,1109
11,15,3246,1110
11,16,2182,1111
12,11,2762,1112
11,16,3991,1113
12,13,324,1114
11,8,51,1115
11,23,4101,1116
11,6,9955,1117
11,13,1076,1118
11,14,8365,1119
11,16,2043,1120
11,14,5625,1121
12,13,2660,1122
11,12,3920,1123
11,17,6290,1124
10,18,5845,1125
11,15,3470,1126
12,13,1239,1127
12,16,1552,1128
11,18,4977,1129
12,11,5384,1130
12,7,20,1131
12,15,3134,1132
10,16,6344,1133
12,15,9305,1134
13,20,1957,1135
11,19,5982,1136
12,15,2476,1137
11,19,3667,1138
11,16,8012,1139
12,17,8968,1140
12,10,6913,1141
12,15,193,1142
12,12,1730,1143
11,10,903,1144
11,10,6869,1145
11,14,8132,1146
12,16,5003,1147
11,20,3175,1148
10,16,9208,1149
11,11,9719,1150
11,13,5217,1151
11,16,1184,1152
12,10,2378,1153
11,13,5488,1154
10,15,7473,1155
12,19,4574,1156
13,18,8958,1157
12,15,5063,1158
11,18,6126,1159
11,13,3934,1160
10,14,6798,1161
12,15,2497,1162
11,14,3419,1163
10,18,3142,1164
11,14,8154,1165
12,13,1727,1166
11,14,5475,1167
11,13,6981,1168
11,10,5394,1169
11,15,3486,1170
11,19,5949,1171
12,11,2306,1172
11,10,31,1173
11,15,4030,1174
11,9,9560,1175
12,11,6899,1176
11,18,2161,1177
12,19,4563,1178
11,13,6425,1179
12,15,7720,1180
11,18,4281,1181
12,13,1642,1182
12,16,8903,1183
12,17,3011,1184
12,16,3481,1185
11,14,2727,1186
10,14,7584,1187
11,15,8790,1188
11,23,4141,1189
11,19,3709,1190
12,15,2724,1191
11,14,939,1192
11,10,2558,1193
12,16,2494,1194
11,14,432,1195
11,14,711,1196
11,20,4221,1197
11,16,5906,1198
12,15,7691,1199
11,8,9614,1200
10,7,9392,1201
10,18,3639,1202
11,14,8271,1203
11,10,9422,1204
12,15,7668,1205
10,13,7830,1206
12,13,2672,1207
12,20,6181,1208
12,14,8744,1209
13,17,9096,1210
12,13,3900,1211
12,18,3025,1212
11,15,7089,1213
13,14,9155,1214
12,10,2387,1215
10,11,570,1216
11,12,8233,1217
12,6,9970,1218
12,17,5711,1219
12,11,2374,1220
12,11,31,1221
11,14,8434,1222
12,9,9664,1223
11,13,2588,1224
12,14,7280,1225
10,11,95,1226
12,10,9650,1227
12,13,1500,1228
12,11,2352,1229
11,15,7340,1230
11,13,7465,1231
12,12,1743,1232
12,16,7331,1233
12,16,2087,1234
11,14,7516,1235
13,13,1350,1236
12,11,9916,1237
11,16,187,1238
11,13,3882,1239
12,17,5012,1240
11,16,5635,1241
12,24,4134,1242
11,16,4388,1243
12,16,2723,1244
11,18,3288,1245
11,17,6774,1246
12,11,9644,1247
12,11,1520,1248
10,15,6743,1249
13,16,5355,1250
10,14,245,1251
13,16,3125,1252
11,16,140,1253
11,17,6260,1254
12,16,2064,1255
12,14,7419,1256
11,18,6354,1257
12,12,1713,1258
12,13,5270,1259
12,16,8706,1260
11,13,5405,1261
11,13,2734,1262
11,15,6800,1263
11,14,2735,1264
10,18,4820,1265
11,18,4316,1266
11,15,436,1267
11,12,1088,1268
12,9,854,1269
11,14,670,1270
12,16,2451,1271
11,13,6488,1272
11,19,4803,1273
11,11,6838,1274
11,15,5563,1275
10,11,8090,1276
12,17,3611,1277
12,12,5206,1278
12,20,5961,1279
11,14,6705,1280
13,12,6912,1281
12,11,2558,1282
11,7,9830,1283
11,18,3404,1284
11,14,8817,1285
13,17,1893,1286
12,8,822,1287
12,11,1523,1288
12,18,3606,1289
12,17,2444,1290
10,15,6580,1291
13,16,5362,1292
13,12,1529,1293
11,16,3379,1294
12,19,4448,1295
12,14,2701,1296
11,14,4046,1297
11,18,4883,1298
11,13,3788,1299
12,19,4900,1300
12,16,5552,1301
11,13,2590,1302
12,11,1387,1303
11,13,354,1304
12,11,9427,1305
12,13,6949,1306
12,20,4795,1307
12,16,3037,1308
11,14,8507,1309
11,16,7108,1310
12,15,6093,1311
12,13,5418,1312
12,10,9665,1313
12,17,5922,1314
12,16,8821,1315
11,13,8481,1316
11,21,4167,1317
11,21,5995,1318
12,19,6355,1319
12,25,4124,1320
11,15,8438,1321
12,19,2934,1322
12,9,9485,1323
11,18,6318,1324
11,18,6313,1325
12,14,3932,1326
12,17,9018,1327
11,13,6710,1328
13,18,5166,1329
13,15,9157,1330
13,14,1609,1331
11,14,7070,1332
12,13,1746,1333
12,17,2996,1334
13,15,7423,1335
12,15,1172,1336
12,18,6296,1337
11,16,8570,1338
12,12,560,1339
12,20,4802,1340
13,18,5677,1341
11,11,6653,1342
11,16,6572,1343
12,16,5341,1344
12,16,8926,1345
12,14,1744,1346
10,13,173,1347
12,15,3092,1348
11,18,4090,1349
11,15,6528,1350
12,14,3567,1351
12,17,8879,1352
12,19,5813,1353
13,17,3051,1354
11,12,5197,1355
12,18,2125,1356
11,15,3334,1357
12,21,4214,1358
13,16,5187,1359
10,15,8500,1360
11,14,3371,1361
11,15,6795,1362
12,16,5569,1363
12,16,5116,1364
11,19,6142,1365
11,15,9343,1366
12,12,2640,1367
12,16,2438,1368
12,19,4264,1369
12,20,3199,1370
12,19,3591,1371
12,7,9940,1372
12,18,6203,1373
12,16,6514,1374
12,13,1632,1375
12,12,5129,1376
11,14,8258,1377
10,13,1805,1378
12,20,4572,1379
12,14,2347,1380
12,20,4684,1381
11,15,8139,1382
11,15,1226,1383
11,7,496,1384
11,15,7541,1385
12,14,6422,1386
13,18,8973,1387
11,18,7227,1388
12,14,635,1389
11,22,4159,1390
12,17,5726,1391
12,14,357,1392
13,15,953,1393
12,16,7646,1394
12,15,5473,1395
11,12,3447,1396
11,15,3340,1397
11,13,8112,1398
11,17,5884,1399
10,13,7604,1400
11,15,7662,1401
11,19,5826,1402
12,16,7543,1403
10,15,217,1404
13,15,2340,1405
11,11,9175,1406
13,14,5345,1407
11,16,597,1408
12,17,7331,1409
12,18,6268,1410
12,15,9295,1411
11,17,2014,1412
12,12,758,1413
12,8,520,1414
13,18,8861,1415
11,22,4651,1416
11,17,3293,1417
11,14,7833,1418
11,15,1877,1419
11,13,280,1420
11,18,1991,1421
11,17,3954,1422
12,15,636,1423
13,16,9296,1424
13,15,1599,1425
12,15,6108,1426
11,13,2742,1427
11,16,4938,1428
11,10,571,1429
11,19,4977,1430
11,14,2541,1431
11,19,4585,1432
13,9,802,1433
10,11,84,1434
12,21,4801,1435
12,9,9493,1436
12,15,5610,1437
11,12,6497,1438
12,14,6441,1439
12,19,2940,1440
12,12,2764,1441
13,11,5736,1442
13,14,1305,1443
11,12,9874,1444
12,11,2607,1445
11,14,165,1446
11,19,4524,1447
12,15,2252,1448
11,16,4350,1449
11,12,2752,1450
12,16,2531,1451
11,15,6340,1452
12,15,6705,1453
11,20,3166,1454
12,19,1987,1455
11,12,8303,1456
11,16,5626,1457
13,14,1080,1458
11,9,9592,1459
12,15,2548,1460
12,11,2408,1461
11,14,8485,1462
12,17,7132,1463
12,10,9562,1464
12,17,4920,1465
11,13,1932,1466
13,15,9054,1467
12,8,529,1468
12,15,8428,1469
12,14,5495,1470
12,8,9820,1471
12,17,7544,1472
11,15,7582,1473
12,14,1124,1474
11,13,3769,1475
11,17,188,1476
12,15,7640,1477
12,23,4644,1478
13,17,2439,1479
13,20,1989,1480
13,14,7395,1481
11,10,1321,1482
13,21,4681,1483
12,19,4099,1484
11,19,4487,1485
13,19,3019,1486
11,15,8753,1487
12,14,6464,1488
12,20,4099,1489
12,20,4696,1490
11,18,9011,1491
11,12,6506,1492
11,19,3180,1493
12,19,6143,1494
10,18,6067,1495
12,13,8099,1496
12,17,4426,1497
11,11,1473,1498
11,18,4979,1499
11,10,2854,1500
12,13,6967,1501
12,22,4798,1502
11,16,6749,1503
11,20,4548,1504
12,15,2273,1505
13,9,517,1506
13,13,1087,1507
12,12,9913,1508
12,19,5160,1509
